dateBeforeFlight, Price
206100,109.99
378900,89.99
551700,89.99
638100,49.99
810900,69.98
983700,69.98
1156500,49.99
1242900,39.99
1415700,109.99
1588500,89.99
1761300,49.99
1847700,39.99
2020500,49.99
2193300,129.99
2366100,39.99
1847700,39.99
2020500,49.99
2193300,129.99
2366100,39.99
2452500,29.99
2625300,29.99
2798100,49.99
2970900,39.99
3057300,39.99
3230100,39.99
3402900,59.99
3575700,49.99
3662100,49.99
3834900,69.98
3921300,69.98
4180500,69.98
4266900,69.98
4439700,49.99
4526100,59.99
4785300,129.99
4266900,69.98
4439700,49.99
4526100,59.99
4785300,129.99
4871700,69.98
5044500,39.99
5130900,39.99
5217300,29.99
5390100,39.99
5476500,29.99
5649300,29.99
5822100,29.99
5994900,29.99
6081300,29.99
6254100,29.99
6426900,29.99
6599700,39.99
6686100,29.99
6858900,29.99
7031700,39.99
7204500,39.99
7290900,39.99
7463700,49.99
7636500,49.99
7809300,29.99
7290900,39.99
7463700,49.99
7636500,49.99
7809300,29.99
7895700,39.99
8068500,39.99
8241300,69.98
8414100,69.98
8500500,189.99
8673300,39.99
8846100,39.99
9018900,39.99
9105300,49.99
9278100,39.99
9450900,89.99
9623700,29.99
9710100,59.99
9882900,39.99
10055700,49.99
10228500,59.99
9710100,59.99
9882900,39.99
10055700,49.99
10228500,59.99
10314900,69.98
10487700,59.99
10660500,49.99
10833300,109.99
10919700,129.99
11092500,89.99
11265300,59.99
11438100,69.98
11524500,69.98
11697300,89.99
11870100,89.99
12039300,69.98
12125700,69.98
12212100,89.99
12298500,69.98
12384900,49.99
12471300,69.98
12557700,49.99
12644100,29.99
12125700,69.98
12212100,89.99
12298500,69.98
12384900,49.99
12471300,69.98
12557700,49.99
12644100,29.99
12730500,109.99
12816900,129.99
12903300,49.99
12989700,69.98
13076100,69.98
13162500,49.99
13248900,49.99
13335300,39.99
13421700,49.99
13508100,49.99
13594500,69.98
13680900,159.99
13767300,69.98
13853700,69.98
13940100,129.99
14026500,159.99
14112900,89.99
14199300,69.98
14285700,129.99
14372100,69.98
14458500,69.98
14544900,69.98
14631300,109.99
14717700,69.98
14804100,109.99
14890500,109.99
14976900,129.99
15063300,69.98
14544900,69.98
14631300,109.99
14717700,69.98
14804100,109.99
14890500,109.99
14976900,129.99
15063300,69.98
15149700,69.98
15236100,69.98
15322500,69.98
15408900,69.98
15495300,69.98
15581700,89.99
15668100,89.99
15754500,69.98
15840900,109.99
15927300,69.98
16013700,69.98
16100100,69.98
16186500,109.99
16272900,69.98
16359300,129.99
16445700,109.99
16532100,69.98
16618500,69.98
16704900,89.99
16791300,69.98
16877700,69.98
16964100,69.98
17050500,69.98
17136900,69.98
17223300,69.98
17309700,69.98
17396100,69.98
17482500,69.98
17568900,69.98
17655300,69.98
17741700,69.98
17828100,69.98
17914500,69.98
18000900,69.98
18087300,69.98
17568900,69.98
17655300,69.98
17741700,69.98
17828100,69.98
17914500,69.98
18000900,69.98
18087300,69.98
18173700,69.98
18260100,69.98
18346500,69.98
18432900,69.98
18519300,69.98
18605700,69.98
18692100,69.98
18778500,69.98
18864900,69.98
18951300,69.98
19037700,69.98
19124100,69.98
19210500,69.98
19296900,69.98
19383300,69.98
19469700,69.98
19556100,69.98
19642500,69.98
19728900,69.98
19815300,69.98
19901700,69.98
19988100,69.98
20074500,69.98
20160900,69.98
20247300,69.98
20333700,69.98
20420100,69.98
20506500,69.98
19988100,69.98
20074500,69.98
20160900,69.98
20247300,69.98
20333700,69.98
20420100,69.98
20506500,69.98
20592900,69.98
20679300,69.98
20765700,69.98
20852100,69.98
20938500,69.98
21024900,69.98
21111300,89.99
21197700,69.98
21284100,69.98
21370500,69.98
21456900,69.98
21543300,69.98
21629700,69.98
21716100,69.98
21802500,69.98
21888900,69.98
21975300,69.98
22061700,69.98
22148100,89.99
22234500,89.99
22320900,89.99
22407300,109.99
22493700,89.99
22580100,109.99
22666500,89.99
22752900,89.99
22839300,109.99
22925700,109.99
23012100,109.99
23098500,89.99
23184900,89.99
23271300,129.99
23357700,89.99
23444100,89.99
23530500,89.99
23012100,109.99
23098500,89.99
23184900,89.99
23271300,129.99
23357700,89.99
23444100,89.99
23530500,89.99
23616900,89.99
23703300,89.99
23789700,89.99
23876100,89.99
23962500,89.99
24048900,89.99
24135300,89.99
24221700,89.99
24308100,89.99
24394500,69.98
24480900,69.98
24567300,69.98
24653700,69.98
24740100,69.98
24826500,69.98
24912900,69.98
24999300,69.98
25085700,69.98
25172100,69.98
25258500,69.98
25344900,69.98
25431300,69.98
25517700,69.98
25604100,69.98
25690500,89.99
25776900,69.98
25863300,89.99
25949700,69.98
25431300,69.98
25517700,69.98
25604100,69.98
25690500,89.99
25776900,69.98
25863300,89.99
25949700,69.98
26036100,109.99
26122500,69.98
26208900,69.98
26295300,109.99
26381700,89.99
26468100,69.98
26554500,69.98
26640900,69.98
26727300,69.98
26813700,69.98
26900100,69.98
26986500,69.98
27072900,69.98
27159300,69.98
27245700,69.98
27332100,69.98
27418500,89.99
27504900,69.98
27591300,69.98
27677700,69.98
27764100,89.99
27850500,69.98
27936900,69.98
28023300,69.98
28109700,69.98
28196100,69.98
28282500,89.99
28368900,109.99
27850500,69.98
27936900,69.98
28023300,69.98
28109700,69.98
28196100,69.98
28282500,89.99
28368900,109.99
28455300,129.99
28541700,69.98
28628100,69.98
28714500,89.99
28800900,129.99
28887300,89.99
28973700,89.99
29060100,69.98
29146500,69.98
29232900,69.98
29319300,69.98
29405700,69.98
29492100,69.98
29578500,69.98
29664900,69.98
29751300,69.98
29837700,69.98
29924100,69.98
30010500,69.98
30096900,69.98
30183300,69.98
30269700,89.99
30356100,89.99
30442500,69.98
30528900,69.98
30615300,89.99
30701700,69.98
119700,129.99
292500,89.99
465300,89.99
551700,89.99
724500,69.98
897300,89.99
1070100,49.99
1156500,49.99
1329300,109.99
1502100,89.99
1674900,49.99
1761300,39.99
1934100,49.99
2106900,159.99
2279700,39.99
1761300,39.99
1934100,49.99
2106900,159.99
2279700,39.99
2366100,29.99
2538900,29.99
2711700,49.99
2884500,39.99
2970900,49.99
3143700,39.99
3316500,59.99
3489300,59.99
3575700,49.99
3748500,69.98
3834900,69.98
4094100,89.99
4180500,69.98
4353300,49.99
4439700,59.99
4698900,129.99
4180500,69.98
4353300,49.99
4439700,59.99
4698900,129.99
4785300,89.99
4958100,39.99
5044500,39.99
5130900,29.99
5303700,39.99
5390100,29.99
5562900,29.99
5735700,29.99
5908500,29.99
5994900,29.99
