dateBeforeFlight, Price
70500,214.38
156900,121.95
243300,84.99
329700,84.99
416100,66.5
502500,66.5
588900,66.5
675300,48.02
761700,36.93
848100,29.53
934500,29.53
1020900,36.93
1107300,29.53
1193700,48.02
1280100,48.02
1366500,22.14
1452900,22.14
1539300,22.14
1625700,29.53
1712100,22.14
1798500,48.02
1884900,29.53
1971300,22.14
2057700,22.14
2144100,29.53
2230500,29.53
2316900,22.14
2403300,48.02
2489700,48.02
2576100,22.14
2662500,22.14
2748900,22.14
2835300,22.14
2921700,36.93
3008100,66.5
2489700,48.02
2576100,22.14
2662500,22.14
2748900,22.14
2835300,22.14
2921700,36.93
3008100,66.5
3094500,36.93
3180900,29.53
3267300,22.14
3353700,22.14
3440100,22.14
3526500,22.14
3612900,29.53
3699300,48.02
3785700,36.93
3872100,36.93
3958500,66.5
4044900,55.41
4131300,103.47
4217700,84.99
4304100,66.5
4390500,36.93
4476900,36.93
4563300,29.53
4649700,29.53
4736100,29.53
4822500,66.5
4908900,29.53
4995300,36.93
5081700,22.14
5168100,29.53
5254500,29.53
5340900,22.14
5427300,48.02
4908900,29.53
4995300,36.93
5081700,22.14
5168100,29.53
5254500,29.53
5340900,22.14
5427300,48.02
5513700,48.02
5600100,22.14
5686500,22.14
5772900,36.93
5859300,36.93
5945700,22.14
6032100,66.5
6118500,48.02
6204900,22.14
6291300,22.14
6377700,29.53
6464100,29.53
6550500,22.14
6636900,55.41
6723300,48.02
6809700,22.14
6896100,48.02
6982500,48.02
7068900,36.93
7155300,22.14
7189200,22.14
7324200,147.83
7410600,36.93
7448400,22.14
7583400,36.93
7669800,48.02
7756200,48.02
7794000,22.14
7324200,147.83
7410600,36.93
7448400,22.14
7583400,36.93
7669800,48.02
7756200,48.02
7794000,22.14
7929000,55.41
8015400,48.02
8053200,48.02
8188200,55.41
8274600,55.41
8361000,55.41
8398800,48.02
8533800,55.41
8620200,48.02
8658000,48.02
8793000,48.02
8879400,48.02
8965800,55.41
9003600,55.41
9138600,55.41
9225000,48.02
9262800,48.02
9397800,48.02
9484200,48.02
9570600,48.02
9608400,48.02
9743400,55.41
9829800,48.02
9867600,55.41
10002600,55.41
10089000,48.02
10175400,48.02
10213200,48.02
9743400,55.41
9829800,48.02
9867600,55.41
10002600,55.41
10089000,48.02
10175400,48.02
10213200,48.02
10348200,84.99
10434600,55.41
10472400,55.41
10607400,55.41
10693800,55.41
10780200,55.41
10818000,55.41
10953000,55.41
11039400,48.02
11077200,48.02
11212200,55.41
11298600,48.02
11385000,48.02
11422800,55.41
11557800,55.41
11644200,55.41
11682000,55.41
11817000,55.41
11903400,55.41
11989800,55.41
12027600,55.41
12162600,55.41
12249000,66.5
12286800,55.41
12421800,55.41
12508200,84.99
12594600,66.5
12632400,84.99
12767400,84.99
12853800,66.5
12891600,66.5
13026600,84.99
13113000,66.5
13199400,55.41
13237200,55.41
12767400,84.99
12853800,66.5
12891600,66.5
13026600,84.99
13113000,66.5
13199400,55.41
13237200,55.41
13372200,66.5
13458600,55.41
13496400,55.41
13631400,66.5
13717800,55.41
13804200,55.41
13842000,55.41
13977000,55.41
14063400,55.41
14101200,55.41
14236200,55.41
14322600,55.41
14409000,55.41
14446800,55.41
14581800,66.5
14668200,55.41
14706000,55.41
14841000,55.41
14927400,55.41
15013800,55.41
15051600,55.41
15186600,55.41
15273000,147.83
15310800,55.41
15445800,55.41
15532200,66.5
15618600,55.41
15656400,66.5
15186600,55.41
15273000,147.83
15310800,55.41
15445800,55.41
15532200,66.5
15618600,55.41
15656400,66.5
15791400,55.41
15877800,55.41
15915600,55.41
16050600,55.41
16137000,55.41
16223400,55.41
16261200,55.41
16396200,66.5
16482600,55.41
16520400,55.41
16655400,55.41
16741800,55.41
16828200,55.41
16866000,55.41
17001000,66.5
17087400,55.41
17125200,66.5
17260200,55.41
17346600,55.41
17433000,55.41
17470800,55.41
17605800,66.5
17692200,55.41
17730000,55.41
17865000,55.41
17951400,55.41
18037800,55.41
18075600,66.5
18210600,66.5
18297000,66.5
18334800,55.41
18469800,66.5
18556200,66.5
18642600,66.5
18680400,84.99
18210600,66.5
18297000,66.5
18334800,55.41
18469800,66.5
18556200,66.5
18642600,66.5
18680400,84.99
18815400,66.5
18901800,66.5
18939600,66.5
19074600,84.99
19161000,66.5
19247400,66.5
19285200,84.99
19420200,84.99
19506600,66.5
19544400,55.41
19679400,66.5
19765800,66.5
19852200,84.99
19890000,66.5
20025000,66.5
20111400,66.5
20149200,66.5
20284200,66.5
20370600,66.5
20457000,66.5
20494800,84.99
20629800,84.99
20716200,66.5
