For Param idx, m=4.5 ;var=8.25
For Param te, m=1.81696 ;var=4.6101658624
For Param ce, m=0.016045300000000002 ;var=2.528100000000141E-10
For Param teste, m=0.016919499999999997 ;var=5.826782450000002E-6
For Param theta, m=0.015915799999999997 ;var=1.6000000000032E-13
For Param 5, m=0.1273293 ;var=3.313664099999967E-7
For Param endOfTBF, m=-0.4371371 ;var=5.433395490000024E-6
For Param DOF, m=0.9911990000000003 ;var=2.4541849200000054E-5
For Param route1, m=-0.6726989999999999 ;var=1.241469980000001E-5
For Param 9, m=-0.011551200000000001 ;var=9.425945599999998E-7
For Param 10, m=0.10316889999999998 ;var=1.2974029000000115E-7
For Param 11, m=0.10907460000000002 ;var=5.6820440000001E-8
For Param 12, m=0.052550299999999994 ;var=6.139541000000026E-8
For Param 13, m=0.07314760000000001 ;var=6.874524000000043E-8
For Param 14, m=0.0472094 ;var=8.795664000000043E-8
For Param 15, m=0.0693839 ;var=5.8993889999999E-8
For Param 16, m=0.0997849 ;var=9.547248999999914E-8
For Param 17, m=0.0947681 ;var=1.2970429000000117E-7
For Param 18, m=0.020002199999999998 ;var=5.394575999999981E-8
For Param 19, m=0.09264190000000001 ;var=1.0493168999999951E-7
For Param 20, m=0.0104471 ;var=1.080686900000001E-7
For Param 21, m=0.1275415 ;var=3.661200500000025E-7
For Param 22, m=0.07297479999999999 ;var=6.09019600000005E-8
For Param 23, m=0.014986399999999997 ;var=1.0817963999999973E-7
For Param 24, m=0.1588151 ;var=9.514989000000122E-8
For Param 25, m=0.05686139999999999 ;var=1.0223783999999982E-7
For Param route19, m=0.08214380000000002 ;var=7.761576000000066E-8
For Param month12, m=-0.0462973 ;var=1.2466820999999945E-7
For Param 28, m=-0.028972200000000004 ;var=1.6356076000000013E-7
For Param 29, m=0.0043438999999999995 ;var=1.3969768999999997E-7
For Param 30, m=0.0312798 ;var=1.875737599999998E-7
For Param 31, m=0.0415113 ;var=2.2669480999999974E-7
For Param 32, m=0.10625789999999999 ;var=1.7706149000000262E-7
For Param 33, m=0.09796930000000001 ;var=1.455856099999982E-7
For Param 34, m=0.0338937 ;var=2.1534021000000025E-7
For Param 35, m=0.024765000000000002 ;var=1.503697999999996E-7
For Param 36, m=-0.0361315 ;var=3.1453885000000113E-7
For Param 37, m=0.0135828 ;var=3.2724896000000027E-7
For Param mobth12, m=0.1722265 ;var=1.6654499999997563E-9
